nu,G0_over_mu,Gss_over_mu,Delta,tauA_over_tauM
-0.9,0.6113571214139311,0.36464732352401225,0.6765709823554287,0.37906309009108347
-0.7,0.6374272785054733,0.39078124386235685,0.631161394045799,0.42688076546659004
-0.5,0.6658221049829408,0.420950462093976,0.5817113055794625,0.49087960162985933
-0.3,0.6968671740166802,0.4561677450442641,0.5276555205565003,0.5802201927537601
-0.1,0.7309519627233513,0.4978157250370177,0.4683183474547685,0.7120878546752821
0.0,0.7492774519190603,0.5216279857030547,0.436421113236817,0.8038540657710641
0.1,0.7685466487372753,0.5478327772519826,0.40288548011389347,0.9223427694501193
0.2,0.7888348132131382,0.5768098381260941,0.3675821060470439,1.0800279949373166
0.3,0.8102261705580874,0.6090239522818031,0.3303683172434335,1.2980382029914364
0.4,0.8328181920873419,0.6450510803991557,0.2910887484631395,1.6148314030638942
0.45,0.844605053064771,0.6647156334910497,0.2706261301978894,1.8320271566419781
